h5,Be8, Qxe6,Rb8, Qe7+,Bf7, Rxf7+,Kg8, Rg7+,Kh8, Rh7+,Kg8, Qg7#,{Black checkmated} 1-0
Kg4,Qg8+, Qg5,Qxg5+, fxg5,a5, g6,a4, g7,b5, g8=Q,b4, Qd8+,{Black resigns} 1-0
Ba6,Rxb2, Rxh6,e3, Kf3,exf2, Rah1,f1=Q+, Bxf1,Rf2+, Kxf2,Re8, Rh8#,{Black checkmated} 1-0
h4+,Kf5, Qe2,Qa4, Bg4+,Kf6, Qe6+,Kg7, Qe7+,Kg8, Be6+,Kh8, Qf8#,{Black checkmated} 1-0
e4,Qd7, e5,Nxd4, cxd4,Be7, exf6,Bxf6, Ne5,Bxe5, dxe5,f6, exf6,{Black resigns} 1-0
Rxd6,Qf5, Rc6,a3, Rc5,a2, Rxa2,Qf8, Re5+,Kd3, Rd2+,Kc3, Rc5+,{Black resigns} 1-0
Nd2,Rad8, f3,Nxd4, cxd4,Bb5, fxe4,Bxd3, Qxd3,dxe4, Qxe4,Qxe4, Nxe4,{Black resigns} 1-0
Nd2,Rad8, f3,Nxd4, cxd4,Ba4, Qxa4,Nxc5, Bxf5,Nxa4, Bc2,Nc3, Nb3,{Black resigns} 1-0
Nd2,Rad8, f3,Nxd4, cxd4,Bb5, fxe4,Bxd3, Qxd3,Qg6, Rf4,Kh8, Rg4,{Black resigns} 1-0
Nd2,Rad8, f3,Nxd4, cxd4,Bb5, fxe4,Bxd3, Qxd3,Qg6, Rf4,Qg3, Rg4,{Black resigns} 1-0
Kf5,Bg7, Kg6,Bf8, h6,a2, Ra1,Bd6, Rxa2,Bxf4, h7,Be5, Kf7,{Black resigns} 1-0
Qg8+,Kf6, Rb6+,Kf5, Qf7+,Ke4, Re6+,Kd5, Qd7+,Kc4, Rc6+,Kb3, Qxd1+,{Black resigns} 1-0
Bd3,f5, exf6,Nxd2, Bxg6,hxg6, f7+,Rxf7, Nxf7,Nxf1, Kxf1,Ba6+, Kg1,{Black resigns} 1-0
